,index,L1
0,Amount,True
1,Time,False
2,V1,True
3,V10,True
4,V11,True
5,V12,True
6,V13,True
7,V14,True
8,V15,False
9,V16,True
10,V17,True
11,V18,True
12,V19,True
13,V2,True
14,V20,True
15,V21,True
16,V22,False
17,V23,True
18,V24,False
19,V25,True
20,V26,False
21,V27,False
22,V28,False
23,V3,True
24,V4,True
25,V5,False
26,V6,False
27,V7,True
28,V8,True
29,V9,True
